Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,home_rest_days_fixed,away_rest_days_fixed,rest_days_diff_fixed,home_matches_7days,away_matches_7days,home_form_3_fixed,away_form_3_fixed,form_diff_3_fixed,home_non_epl_load_7days_fixed,away_non_epl_load_7days_fixed,load_diff_7days_fixed,home_shot_accuracy,away_shot_accuracy
2015-09-26,West Ham,Norwich,2,2,D,1,1,D,M Dean,19,16,7,7,7,17,7,5,0,0,0,0,2015-2016,4,3,1,3,3,2.0,1.6666666666666667,0.33333333333333326,2,2,0,0.35,0.4117647058823529
2015-09-27,Watford,Crystal Palace,0,1,A,0,0,D,A Taylor,15,16,2,3,17,22,6,4,4,4,0,0,2015-2016,8,4,4,0,3,3.0,1.0,2.0,0,2,-2,0.125,0.17647058823529413
2015-09-28,West Brom,Everton,2,3,A,1,0,H,R Madley,9,12,4,4,9,8,6,4,0,3,0,0,2015-2016,5,6,-1,1,1,2.0,1.6666666666666667,0.33333333333333326,1,1,0,0.4,0.3076923076923077
2015-10-03,Aston Villa,Stoke,0,1,A,0,0,D,M Jones,13,12,2,5,12,12,9,5,1,0,0,0,2015-2016,7,7,0,2,2,1.0,3.0,-2.0,1,1,0,0.14285714285714285,0.38461538461538464
2015-10-03,Bournemouth,Watford,1,1,D,1,1,D,M Oliver,12,11,6,2,8,13,5,3,1,1,0,0,2015-2016,7,6,1,2,2,1.0,1.0,0.0,1,1,0,0.46153846153846156,0.16666666666666666
2015-10-03,Chelsea,Southampton,1,3,A,1,1,D,R Madley,10,13,3,5,14,14,4,6,2,5,0,0,2015-2016,4,7,-3,3,2,0.6666666666666666,3.0,-2.3333333333333335,2,1,1,0.2727272727272727,0.35714285714285715
2015-10-03,Crystal Palace,West Brom,2,0,H,0,0,D,J Moss,21,7,8,2,14,13,8,3,3,3,0,0,2015-2016,6,5,1,2,2,3.0,0.0,3.0,1,1,0,0.36363636363636365,0.25
2015-10-03,Man City,Newcastle,6,1,H,1,1,D,K Friend,23,6,11,4,13,8,6,3,3,1,0,0,2015-2016,3,7,-4,3,2,1.0,0.6666666666666666,0.33333333333333337,2,1,1,0.4583333333333333,0.5714285714285714
2015-10-03,Norwich,Leicester,1,2,A,0,1,A,M Clattenburg,17,16,2,5,4,4,16,8,0,1,0,0,2015-2016,7,7,0,2,2,1.6666666666666667,1.0,0.6666666666666667,1,1,0,0.1111111111111111,0.29411764705882354
2015-10-03,Sunderland,West Ham,2,2,D,2,1,H,N Swarbrick,12,20,3,6,14,11,1,8,2,4,1,0,2015-2016,7,7,0,2,2,0.0,0.6666666666666666,-0.6666666666666666,1,1,0,0.23076923076923078,0.2857142857142857
2015-10-04,Arsenal,Man United,3,0,H,3,0,H,A Taylor,12,9,5,5,8,17,3,6,1,3,0,0,2015-2016,5,4,1,1,1,2.0,3.0,-1.0,1,1,0,0.38461538461538464,0.5
2015-10-04,Everton,Liverpool,1,1,D,1,1,D,M Atkinson,14,13,4,4,10,19,5,11,3,3,0,0,2015-2016,6,3,3,2,1,3.0,2.3333333333333335,0.6666666666666665,1,1,0,0.26666666666666666,0.2857142857142857
2015-10-04,Swansea,Tottenham,2,2,D,2,1,H,M Dean,11,19,2,11,8,19,5,6,1,4,0,0,2015-2016,8,3,5,0,1,0.0,2.3333333333333335,-2.3333333333333335,0,1,-1,0.16666666666666666,0.55
2015-10-17,Chelsea,Aston Villa,2,0,H,1,0,H,R East,9,8,3,1,22,17,4,4,1,3,0,0,2015-2016,14,14,0,0,0,0.0,0.0,0.0,0,0,0,0.3,0.1111111111111111
