Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,shot_difference,shot_on_target_difference,home_shot_accuracy,away_shot_accuracy,shot_pressure_ratio,cards_difference,discipline_advantage,foul_difference,home_foul_ratio,corner_difference,home_corner_ratio,home_momentum,away_momentum,momentum_difference,home_form_points,away_form_points,form_difference,home_rest_days,away_rest_days,rest_days_difference,home_team_strength,away_team_strength,strength_difference,total_fouls,total_corners
19/09/2015,Newcastle,Watford,A,15,13,5,4,8,12,5,5,1,2,0,0,2,1,0.3125,0.2857142857142857,0.5172413793103449,-1,1,-4,0.38095238095238093,0,0.45454545454545453,7.4,7.1000000000000005,0.2999999999999998,11.0,9.0,2.0,5.0,7.0,-2.0,-1.0,-0.2,-0.8,20,10
19/09/2015,Stoke,Leicester,D,11,12,4,5,7,12,3,4,1,4,0,0,-1,-1,0.3333333333333333,0.38461538461538464,0.4583333333333333,-3,3,-5,0.35,-1,0.375,7.0,6.7,0.2999999999999998,11.0,11.0,0.0,7.0,6.0,1.0,-0.8,0.8,-1.6,19,7
19/09/2015,Man City,West Ham,A,27,6,8,3,10,7,16,3,1,2,0,0,21,5,0.2857142857142857,0.42857142857142855,0.7941176470588235,-1,1,3,0.5555555555555556,13,0.8,10.0,9.5,0.5,15.0,15.0,0.0,7.0,5.0,2.0,2.2,1.0,1.2000000000000002,17,19
19/09/2015,Swansea,Everton,D,12,17,3,2,12,11,2,4,2,2,0,1,-5,1,0.23076923076923078,0.1111111111111111,0.4,-2,2,1,0.5,-2,0.2857142857142857,7.9,7.0,0.9000000000000004,11.0,11.0,0.0,7.0,7.0,0.0,0.4,0.6,-0.1999999999999999,23,6
19/09/2015,Bournemouth,Sunderland,H,15,9,5,2,14,15,7,3,2,4,0,1,6,3,0.3125,0.2,0.6,-4,4,-1,0.4666666666666667,4,0.6363636363636364,7.4,6.2,1.2000000000000002,13.0,11.0,2.0,7.0,6.0,1.0,-0.6,-1.0,0.4,29,10
19/09/2015,Chelsea,Arsenal,H,22,9,7,2,12,11,5,5,3,1,0,2,13,5,0.30434782608695654,0.2,0.6875,-2,2,1,0.5,0,0.45454545454545453,9.6,8.8,0.8000000000000007,13.0,13.0,0.0,7.0,7.0,0.0,-1.0,0.4,-1.4,23,10
19/09/2015,Aston Villa,West Brom,A,13,11,3,6,10,11,2,7,2,3,0,0,2,-3,0.21428571428571427,0.5,0.52,-1,1,-1,0.45454545454545453,-5,0.2,7.9,6.7,1.2000000000000002,13.0,11.0,2.0,6.0,7.0,-1.0,-0.4,-0.6,0.1999999999999999,21,9
20/09/2015,Liverpool,Norwich,D,23,7,7,2,4,13,6,2,1,2,0,0,16,5,0.2916666666666667,0.25,0.7419354838709677,-1,1,-9,0.2222222222222222,4,0.6666666666666666,7.800000000000001,8.3,-0.5,13.0,13.0,0.0,8.0,8.0,0.0,-0.6,-0.2,-0.3999999999999999,17,8
20/09/2015,Southampton,Man United,A,15,10,8,3,6,13,5,5,2,0,0,0,5,5,0.5,0.2727272727272727,0.5769230769230769,2,-2,-7,0.3,0,0.45454545454545453,6.4,8.3,-1.9000000000000004,9.0,13.0,-4.0,8.0,8.0,0.0,0.0,0.6,-0.6,19,10
20/09/2015,Tottenham,Crystal Palace,H,22,12,6,4,9,11,6,5,1,2,0,0,10,2,0.2608695652173913,0.3076923076923077,0.6285714285714286,-1,1,-2,0.42857142857142855,1,0.5,6.4,9.5,-3.0999999999999996,9.0,15.0,-6.0,7.0,8.0,-1.0,0.0,0.4,-0.4,20,11
26/09/2015,Leicester,Arsenal,A,16,26,7,12,9,12,6,5,1,1,0,0,-10,-5,0.4117647058823529,0.4444444444444444,0.3720930232558139,0,0,-3,0.4090909090909091,1,0.5,5.5,9.2,-3.6999999999999993,9.0,13.0,-4.0,7.0,7.0,0.0,0.6666666666666666,0.0,0.6666666666666666,21,11
26/09/2015,Liverpool,Aston Villa,H,21,10,12,4,8,13,11,1,0,0,0,0,11,8,0.5454545454545454,0.36363636363636365,0.65625,0,0,-5,0.36363636363636365,10,0.8461538461538461,6.7,8.3,-1.6000000000000003,11.0,13.0,-2.0,6.0,7.0,-1.0,-0.5,-0.5,0.0,21,12
26/09/2015,Man United,Sunderland,H,12,9,7,4,12,17,5,2,0,3,0,0,3,3,0.5384615384615384,0.4,0.5454545454545454,-3,3,-5,0.4,3,0.625,8.2,7.0,1.1999999999999993,13.0,11.0,2.0,6.0,7.0,-1.0,0.6666666666666666,-1.1666666666666667,1.8333333333333337,29,7
26/09/2015,Newcastle,Chelsea,D,11,16,5,4,12,15,4,6,1,2,0,0,-5,1,0.4166666666666667,0.23529411764705882,0.3928571428571428,-1,1,-3,0.42857142857142855,-2,0.36363636363636365,8.2,10.0,-1.8000000000000007,13.0,15.0,-2.0,7.0,7.0,0.0,-1.0,-0.5,-0.5,27,10
26/09/2015,Southampton,Swansea,H,18,11,7,4,18,14,4,3,3,1,0,0,7,3,0.3684210526315789,0.3333333333333333,0.6,2,-2,4,0.5454545454545454,1,0.5,7.6,6.2,1.3999999999999997,11.0,11.0,0.0,6.0,7.0,-1.0,-0.1666666666666666,0.3333333333333333,-0.5,32,7
26/09/2015,Stoke,Bournemouth,H,8,11,5,6,13,11,3,7,1,0,0,0,-3,-1,0.5555555555555556,0.5,0.4,1,-1,2,0.52,-4,0.2727272727272727,5.800000000000001,7.800000000000001,-2.0,9.0,13.0,-4.0,7.0,7.0,0.0,-0.6666666666666666,-0.1666666666666666,-0.5,24,10
26/09/2015,Tottenham,Man City,H,15,22,8,8,17,6,5,9,5,1,0,0,-7,0,0.5,0.34782608695652173,0.3947368421052631,4,-4,11,0.7083333333333334,-4,0.3333333333333333,7.6,10.0,-2.3999999999999995,9.0,15.0,-6.0,6.0,7.0,-1.0,0.1666666666666666,1.6666666666666667,-1.5,23,14
26/09/2015,West Ham,Norwich,D,19,16,7,7,7,17,7,5,0,0,0,0,3,0,0.35,0.4117647058823529,0.5277777777777778,0,0,-10,0.28,2,0.5384615384615384,9.0,6.2,2.8,15.0,11.0,4.0,7.0,6.0,1.0,1.0,-0.1666666666666666,1.1666666666666667,24,12
27/09/2015,Watford,Crystal Palace,A,15,16,2,3,17,22,6,4,4,4,0,0,-1,-1,0.125,0.17647058823529413,0.46875,0,0,-5,0.425,2,0.5454545454545454,8.3,9.0,-0.6999999999999993,11.0,15.0,-4.0,8.0,7.0,1.0,0.0,0.1666666666666666,-0.1666666666666666,39,10
28/09/2015,West Brom,Everton,A,9,12,4,4,9,8,6,4,0,3,0,0,-3,0,0.4,0.3076923076923077,0.4090909090909091,-3,3,1,0.5,2,0.5454545454545454,7.0,6.300000000000001,0.6999999999999993,11.0,11.0,0.0,9.0,9.0,0.0,-0.3333333333333333,0.5,-0.8333333333333333,17,10
03/10/2015,Aston Villa,Stoke,A,13,12,2,5,12,12,9,5,1,0,0,0,1,-3,0.14285714285714285,0.38461538461538464,0.5,1,-1,0,0.48,4,0.6,8.2,7.0,1.1999999999999993,13.0,11.0,2.0,7.0,7.0,0.0,-0.5714285714285714,-0.4285714285714285,-0.1428571428571428,24,14
03/10/2015,Bournemouth,Watford,D,12,11,6,2,8,13,5,3,1,1,0,0,1,4,0.46153846153846156,0.16666666666666666,0.5,0,0,-5,0.36363636363636365,2,0.5555555555555556,8.2,9.1,-0.9000000000000021,13.0,13.0,0.0,7.0,6.0,1.0,-0.2857142857142857,-0.1428571428571428,-0.1428571428571428,21,8
03/10/2015,Chelsea,Southampton,A,10,13,3,5,14,14,4,6,2,5,0,0,-3,-2,0.2727272727272727,0.35714285714285715,0.4166666666666667,-3,3,0,0.4827586206896552,-2,0.36363636363636365,8.0,8.4,-0.4000000000000003,13.0,11.0,2.0,7.0,7.0,0.0,-0.4285714285714285,0.1428571428571428,-0.5714285714285714,28,10
03/10/2015,Crystal Palace,West Brom,H,21,7,8,2,14,13,8,3,3,3,0,0,14,6,0.36363636363636365,0.25,0.7241379310344828,0,0,1,0.5,5,0.6666666666666666,9.5,7.800000000000001,1.6999999999999993,15.0,13.0,2.0,6.0,5.0,1.0,0.2857142857142857,-0.4285714285714285,0.7142857142857142,27,11
03/10/2015,Man City,Newcastle,H,23,6,11,4,13,8,6,3,3,1,0,0,17,7,0.4583333333333333,0.5714285714285714,0.7666666666666667,2,-2,5,0.5909090909090909,3,0.6,10.0,7.1000000000000005,2.8999999999999995,15.0,11.0,4.0,7.0,7.0,0.0,1.0,-0.8571428571428571,1.8571428571428572,21,9
03/10/2015,Norwich,Leicester,A,17,16,2,5,4,4,16,8,0,1,0,0,1,-3,0.1111111111111111,0.29411764705882354,0.5,-1,1,0,0.4444444444444444,8,0.64,5.0,7.2,-2.2,9.0,9.0,0.0,7.0,7.0,0.0,-0.1428571428571428,0.1428571428571428,-0.2857142857142857,8,24
03/10/2015,Sunderland,West Ham,D,12,20,3,6,14,11,1,8,2,4,1,0,-8,-3,0.23076923076923078,0.2857142857142857,0.3636363636363636,0,0,3,0.5384615384615384,-7,0.1,7.800000000000001,7.5,0.3000000000000007,11.0,13.0,-2.0,7.0,7.0,0.0,-1.4285714285714286,0.8571428571428571,-2.2857142857142856,25,9
04/10/2015,Arsenal,Man United,H,12,9,5,5,8,17,3,6,1,3,0,0,3,0,0.38461538461538464,0.5,0.5454545454545454,-2,2,-9,0.3076923076923077,-3,0.3,9.6,8.600000000000001,1.0,13.0,13.0,0.0,8.0,8.0,0.0,0.4285714285714285,1.0,-0.5714285714285714,25,9
04/10/2015,Everton,Liverpool,D,14,13,4,4,10,19,5,11,3,3,0,0,1,0,0.26666666666666666,0.2857142857142857,0.5,0,0,-9,0.3333333333333333,-6,0.29411764705882354,7.1,8.0,-0.9000000000000004,11.0,11.0,0.0,6.0,8.0,-2.0,0.5714285714285714,-0.2857142857142857,0.8571428571428571,29,16
04/10/2015,Swansea,Tottenham,D,11,19,2,11,8,19,5,6,1,4,0,0,-8,-9,0.16666666666666666,0.55,0.3548387096774194,-3,3,-11,0.2857142857142857,-1,0.4166666666666667,7.0,8.8,-1.8000000000000007,11.0,11.0,0.0,8.0,8.0,0.0,0.0,0.5714285714285714,-0.5714285714285714,27,11
17/10/2015,Watford,Arsenal,A,8,17,1,6,11,12,3,9,2,1,0,0,-9,-5,0.1111111111111111,0.3333333333333333,0.3076923076923077,1,-1,-1,0.4583333333333333,-6,0.23076923076923078,7.5,10.0,-2.5,13.0,15.0,-2.0,14.0,13.0,1.0,-0.125,0.75,-0.875,23,12
17/10/2015,Tottenham,Liverpool,D,13,12,4,3,15,11,8,6,1,2,0,0,1,1,0.2857142857142857,0.23076923076923078,0.5,-1,1,4,0.5555555555555556,2,0.5333333333333333,7.6,6.800000000000001,0.7999999999999998,11.0,11.0,0.0,13.0,13.0,0.0,0.5,-0.25,0.75,26,14
17/10/2015,Southampton,Leicester,D,14,26,6,7,16,10,6,7,2,0,0,0,-12,-1,0.4,0.25925925925925924,0.3414634146341463,2,-2,6,0.5925925925925926,-1,0.42857142857142855,9.2,7.9,1.299999999999999,13.0,11.0,2.0,14.0,14.0,0.0,0.375,0.25,0.125,26,13
